390	0.002209
392	0.002939
394	0.003921
396	0.00524
398	0.00698
400	0.00929
402	0.01231
404	0.01619
406	0.02113
408	0.0273
410	0.03484
412	0.0439
414	0.0545
416	0.0668
418	0.0808
420	0.0966
422	0.1141
424	0.1334
426	0.1541
428	0.1764
430	0.1998
432	0.2243
434	0.2496
436	0.2755
438	0.3017
440	0.3281
442	0.3543
444	0.3803
446	0.406
448	0.431
450	0.455
452	0.479
454	0.502
456	0.524
458	0.546
460	0.567
462	0.588
464	0.61
466	0.631
468	0.653
470	0.676
472	0.699
474	0.722
476	0.745
478	0.769
480	0.793
482	0.817
484	0.84
486	0.862
488	0.884
490	0.904
492	0.923
494	0.941
496	0.957
498	0.97
500	0.982
502	0.99
504	0.997
506	1
508	1
510	0.997
512	0.99
514	0.981
516	0.968
518	0.953
520	0.935
522	0.915
524	0.892
526	0.867
528	0.84
530	0.811
532	0.781
534	0.749
536	0.717
538	0.683
540	0.65
542	0.616
544	0.581
546	0.548
548	0.514
550	0.481
552	0.448
554	0.417
556	0.3864
558	0.3569
560	0.3288
562	0.3018
564	0.2762
566	0.2519
568	0.2291
570	0.2076
572	0.1876
574	0.169
576	0.1517
578	0.1358
580	0.1212
582	0.1078
584	0.0956
586	0.0845
588	0.0745
590	0.0655
592	0.0574
594	0.0502
596	0.0438
598	0.03816
600	0.03315
602	0.02874
604	0.02487
606	0.02147
608	0.01851
610	0.01593
612	0.01369
614	0.01175
616	0.01007
618	0.00862
620	0.00737
622	0.0063
624	0.00538
626	0.00459
628	0.003913
630	0.003335
632	0.002842
634	0.002421
636	0.002062
638	0.001757
640	0.001497
642	0.001276
644	0.001088
646	0.000928
648	0.000792
650	0.000677
652	0.000579
654	0.000496
656	0.000425
658	0.0003645
660	0.0003129
662	0.0002689
664	0.0002313
666	0.0001991
668	0.0001716
670	0.000148
672	0.0001277
674	0.0001104
676	0.0000954
678	0.0000826
680	0.0000715
682	0.000062
684	0.0000538
686	0.0000467
688	0.0000406
690	0.00003533
692	0.00003075
694	0.00002679
696	0.00002336
698	0.00002038
700	0.0000178
702	0.00001556
704	0.0000136
706	0.00001191
708	0.00001043
710	0.00000914
712	0.00000802
714	0.00000704
716	0.00000618
718	0.00000544
720	0.00000478
722	0.00000421
724	0.000003709
726	0.00000327
728	0.000002884
730	0.000002546
